age,job,marital,education,default,housing,loan,balance,duration,campaign,previous,term_deposit,date
58,management,married,tertiary,0,1,0,2143,261,1,0,0,may 5
44,technician,single,secondary,0,1,0,29,151,1,0,0,may 5
33,entrepreneur,married,secondary,0,1,1,2,76,1,0,0,may 5
35,management,married,tertiary,0,1,0,231,139,1,0,0,may 5
28,management,single,tertiary,0,1,1,447,217,1,0,0,may 5
42,entrepreneur,divorced,tertiary,1,1,0,2,380,1,0,0,may 5
58,retired,married,primary,0,1,0,121,50,1,0,0,may 5
43,technician,single,secondary,0,1,0,593,55,1,0,0,may 5
41,admin.,divorced,secondary,0,1,0,270,222,1,0,0,may 5
29,admin.,single,secondary,0,1,0,390,137,1,0,0,may 5
53,technician,married,secondary,0,1,0,6,517,1,0,0,may 5
57,services,married,secondary,0,1,0,162,174,1,0,0,may 5
51,retired,married,primary,0,1,0,229,353,1,0,0,may 5
57,blue-collar,married,primary,0,1,0,52,38,1,0,0,may 5
60,retired,married,primary,0,1,0,60,219,1,0,0,may 5
33,services,married,secondary,0,1,0,0,54,1,0,0,may 5
28,blue-collar,married,secondary,0,1,1,723,262,1,0,0,may 5
56,management,married,tertiary,0,1,0,779,164,1,0,0,may 5
32,blue-collar,single,primary,0,1,1,23,160,1,0,0,may 5
25,services,married,secondary,0,1,0,50,342,1,0,0,may 5
40,retired,married,primary,0,1,1,0,181,1,0,0,may 5
44,admin.,married,secondary,0,1,0,-372,172,1,0,0,may 5
39,management,single,tertiary,0,1,0,255,296,1,0,0,may 5
52,entrepreneur,married,secondary,0,1,1,113,127,1,0,0,may 5
46,management,single,secondary,0,1,0,-246,255,2,0,0,may 5
36,technician,single,secondary,0,1,1,265,348,1,0,0,may 5
57,technician,married,secondary,0,0,1,839,225,1,0,0,may 5
49,management,married,tertiary,0,1,0,378,230,1,0,0,may 5
60,admin.,married,secondary,0,1,1,39,208,1,0,0,may 5
59,blue-collar,married,secondary,0,1,0,0,226,1,0,0,may 5
51,management,married,tertiary,0,1,0,10635,336,1,0,0,may 5
57,technician,divorced,secondary,0,1,0,63,242,1,0,0,may 5
25,blue-collar,married,secondary,0,1,0,-7,365,1,0,0,may 5
53,technician,married,secondary,0,0,0,-3,1666,1,0,0,may 5
36,admin.,divorced,secondary,0,1,0,506,577,1,0,0,may 5
37,admin.,single,secondary,0,1,0,0,137,1,0,0,may 5
44,services,divorced,secondary,0,1,0,2586,160,1,0,0,may 5
50,management,married,secondary,0,1,0,49,180,2,0,0,may 5
54,retired,married,secondary,0,1,0,529,1492,1,0,0,may 5
36,admin.,single,primary,0,1,0,-171,242,1,0,0,may 5
58,self-employed,married,tertiary,0,1,0,-364,355,1,0,0,may 5
44,technician,married,secondary,0,1,0,0,225,2,0,0,may 5
55,technician,divorced,secondary,0,0,0,0,160,1,0,0,may 5
29,management,single,tertiary,0,1,0,0,363,1,0,0,may 5
54,blue-collar,married,secondary,0,1,0,1291,266,1,0,0,may 5
48,management,divorced,tertiary,0,1,0,-244,253,1,0,0,may 5
32,management,married,tertiary,0,1,0,0,179,1,0,0,may 5
42,admin.,single,secondary,0,1,0,-76,787,1,0,0,may 5
24,technician,single,secondary,0,1,1,-103,145,1,0,0,may 5
38,entrepreneur,single,tertiary,0,0,1,243,174,1,0,0,may 5
38,management,single,tertiary,0,1,0,424,104,1,0,0,may 5
46,services,married,primary,0,1,0,179,1778,1,0,0,may 5
32,admin.,married,tertiary,0,1,0,0,138,1,0,0,may 5
53,technician,divorced,secondary,0,1,0,989,812,1,0,0,may 5
57,blue-collar,married,primary,0,1,0,249,164,1,0,0,may 5
33,services,married,secondary,0,1,0,790,391,1,0,0,may 5
51,management,married,tertiary,0,1,0,6530,91,1,0,0,may 5
60,retired,married,tertiary,0,0,0,100,528,1,0,0,may 5
59,management,divorced,tertiary,0,1,0,59,273,1,0,0,may 5
55,technician,married,secondary,0,1,0,1205,158,2,0,0,may 5
35,blue-collar,single,secondary,0,1,1,12223,177,1,0,0,may 5
57,blue-collar,married,secondary,0,1,1,5935,258,1,0,0,may 5
31,services,married,secondary,0,1,1,25,172,1,0,0,may 5
54,management,married,secondary,0,1,1,282,154,1,0,0,may 5
55,blue-collar,married,primary,0,1,0,23,291,1,0,0,may 5
43,technician,married,secondary,0,1,0,1937,181,1,0,0,may 5
53,technician,married,secondary,0,1,0,384,176,1,0,0,may 5
44,blue-collar,married,secondary,0,0,1,582,211,1,0,0,may 5
55,services,divorced,secondary,0,0,0,91,349,1,0,0,may 5
49,services,divorced,secondary,0,1,1,0,272,1,0,0,may 5
55,services,divorced,secondary,1,1,0,1,208,1,0,0,may 5
45,admin.,single,secondary,0,1,0,206,193,1,0,0,may 5
47,services,divorced,secondary,0,0,0,164,212,1,0,0,may 5
42,technician,single,secondary,0,1,0,690,20,1,0,0,may 5
59,admin.,married,secondary,0,1,0,2343,1042,1,0,1,may 5
46,self-employed,married,tertiary,0,1,1,137,246,1,0,0,may 5
51,blue-collar,married,primary,0,1,0,173,529,2,0,0,may 5
56,admin.,married,secondary,0,0,0,45,1467,1,0,1,may 5
41,technician,married,secondary,0,1,0,1270,1389,1,0,1,may 5
46,management,divorced,secondary,0,1,1,16,188,2,0,0,may 5
57,retired,married,secondary,0,1,0,486,180,2,0,0,may 5
42,management,single,secondary,0,0,0,50,48,1,0,0,may 5
30,technician,married,secondary,0,1,1,152,213,2,0,0,may 5
60,admin.,married,secondary,0,1,0,290,583,1,0,0,may 5
57,entrepreneur,divorced,secondary,0,0,0,-37,173,1,0,0,may 5
36,management,married,tertiary,0,1,1,101,426,1,0,0,may 5
55,blue-collar,married,secondary,0,0,0,383,287,1,0,0,may 5
60,retired,married,tertiary,0,1,0,81,101,1,0,0,may 5
39,technician,married,secondary,0,1,0,0,203,1,0,0,may 5
46,management,married,tertiary,0,1,0,229,197,1,0,0,may 5
44,blue-collar,married,secondary,0,1,0,-674,257,1,0,0,may 5
53,blue-collar,married,primary,0,0,0,90,124,1,0,0,may 5
52,blue-collar,married,primary,0,1,0,128,229,1,0,0,may 5
59,blue-collar,married,primary,0,1,0,179,55,3,0,0,may 5
27,technician,single,tertiary,0,1,0,0,400,1,0,0,may 5
44,blue-collar,married,secondary,0,1,0,54,197,1,0,0,may 5
47,technician,married,tertiary,0,1,0,151,190,1,0,0,may 5
34,admin.,married,secondary,0,0,1,61,21,1,0,0,may 5
59,retired,single,secondary,0,1,0,30,514,1,0,0,may 5
45,management,married,tertiary,0,1,0,523,849,2,0,0,may 5
29,services,divorced,secondary,0,1,0,31,194,1,0,0,may 5
46,technician,divorced,secondary,0,0,0,79,144,1,0,0,may 5
56,self-employed,married,primary,0,1,1,-34,212,2,0,0,may 5
36,blue-collar,married,primary,0,1,0,448,286,1,0,0,may 5
