,Impact_Level,Weight,Deceased,Avail_Airbag,Seat_Belt,Front_Impact,Sex,Age,Acc_Year,Veh_Year,Role,Airbag_Deploy,Injury_Severity,Impact_Speed
0,"[25,39]",0.0004333558746122939,No,No,Yes,Yes,F,26,1997-01-01,1990-01-01,Driver,No,3,33.67410389537666
1,"[10,24]",0.0004333558746122939,No,Yes,Yes,Yes,F,72,1997-01-01,1995-01-01,Driver,Yes,1,16.39657060309643
2,"[10,24]",0.0005596699797740489,No,No,No,Yes,F,69,1997-01-01,1988-01-01,Driver,No,4,12.797421982539397
3,"[25,39]",0.008561262470603116,No,Yes,Yes,Yes,F,53,1997-01-01,1995-01-01,Driver,Yes,1,36.24112506308643
4,"[25,39]",0.0004333558746122939,No,No,Yes,Yes,F,32,1997-01-01,1988-01-01,Driver,No,3,28.732116340288012
7,"[55,inf]",0.0004680706539947824,Yes,No,No,Yes,M,32,1997-01-01,1987-01-01,Driver,No,4,60.537451026230656
9,"[10,24]",0.014046249451665254,No,No,Yes,Yes,F,18,1997-01-01,1987-01-01,Driver,No,0,19.748192942707504
10,"[10,24]",0.014046249451665254,No,No,Yes,Yes,M,21,1997-01-01,1987-01-01,Passenger,No,0,23.142399130398005
12,"[10,24]",0.015966483044710687,No,Yes,Yes,Yes,M,67,1997-01-01,1991-01-01,Driver,Yes,1,14.141593881791758
13,"[25,39]",0.0015488943152643076,Yes,Yes,Yes,No,F,54,1997-01-01,1994-01-01,Driver,No,4,32.78830035347469
14,"[25,39]",0.0005026817555842494,No,No,Yes,No,F,37,1997-01-01,1991-01-01,Driver,No,1,31.882468036522816
15,"[25,39]",0.0005026817555842494,No,No,Yes,Yes,M,71,1997-01-01,1990-01-01,Driver,No,1,31.321635194696885
16,"[25,39]",0.0005026817555842494,No,No,Yes,Yes,F,63,1997-01-01,1990-01-01,Passenger,No,3,28.255277925197845
18,"[10,24]",0.0199830123944166,No,Yes,Yes,No,M,33,1997-01-01,1995-01-01,Driver,No,0,16.514184226452144
19,"[10,24]",0.0199830123944166,No,Yes,Yes,No,M,17,1997-01-01,1995-01-01,Passenger,No,0,20.571434495749877
20,"[10,24]",0.00148967701862714,No,Yes,No,Yes,F,20,1997-01-01,1995-01-01,Driver,Yes,1,12.700861304164002
21,"[10,24]",0.00148967701862714,No,No,Yes,No,F,22,1997-01-01,1987-01-01,Driver,No,0,20.318298446972463
22,"[10,24]",0.006863141258961179,No,No,No,No,M,45,1997-01-01,1989-01-01,Driver,No,0,16.470822059167727
23,"[10,24]",0.006863141258961179,No,No,No,No,M,36,1997-01-01,1989-01-01,Passenger,No,1,21.57788900860255
24,"[10,24]",0.0006412298397472085,No,Yes,Yes,Yes,F,23,1997-01-01,1995-01-01,Driver,Yes,1,20.339786414167705
25,"[10,24]",0.0013688059973354873,No,No,No,Yes,F,19,1997-01-01,1989-01-01,Driver,No,1,16.163250514067027
27,"[10,24]",0.004223141901794834,No,No,Yes,Yes,F,41,1997-01-01,1990-01-01,Driver,No,0,18.531078314365406
28,"[40,54]",0.0004534693655009181,No,No,Yes,Yes,F,18,1997-01-01,1987-01-01,Driver,No,1,50.10060619005146
29,"[40,54]",0.0004534693655009181,No,No,No,Yes,M,30,1997-01-01,1987-01-01,Passenger,No,3,46.9106071505749
30,"[10,24]",0.004174257824708656,No,Yes,Yes,Yes,F,26,1997-01-01,1992-01-01,Driver,Yes,1,21.68383158154447
31,"[1,9]",0.012879563302223401,No,No,Yes,Yes,M,16,1997-01-01,1988-01-01,Driver,No,0,3.8091508603131885
32,"[1,9]",0.012879563302223401,No,No,Yes,Yes,M,17,1997-01-01,1988-01-01,Passenger,No,0,4.574488878526032
33,"[10,24]",0.012879563302223401,No,Yes,Yes,No,M,20,1997-01-01,1990-01-01,Driver,No,0,16.070318471310042
34,"[10,24]",0.012879563302223401,No,Yes,Yes,No,F,17,1997-01-01,1990-01-01,Passenger,No,0,18.96286892261969
35,"[25,39]",0.0005211191222348372,No,No,No,Yes,M,32,1997-01-01,1993-01-01,Driver,No,3,33.318988367330235
36,"[25,39]",0.0005211191222348372,No,Yes,No,Yes,F,19,1997-01-01,1993-01-01,Driver,Yes,2,27.378774978319957
37,"[25,39]",0.0005211191222348372,No,Yes,Yes,No,F,52,1997-01-01,1995-01-01,Driver,No,1,30.892159066501513
38,"[10,24]",0.0034442797983633773,No,No,Yes,Yes,F,64,1997-01-01,1992-01-01,Driver,No,2,17.58987594779444
40,"[10,24]",0.0034442797983633773,No,No,Yes,Yes,M,36,1997-01-01,1988-01-01,Driver,No,2,16.20696503388139
41,"[10,24]",0.0034442797983633773,No,Yes,Yes,No,M,23,1997-01-01,1993-01-01,Driver,No,1,21.188532132988072
43,"[10,24]",0.0035651162603705724,No,Yes,Yes,Yes,M,32,1997-01-01,1995-01-01,Driver,Yes,0,21.11739581187459
44,"[10,24]",0.0035651162603705724,No,No,Yes,No,M,21,1997-01-01,1987-01-01,Driver,No,1,19.462265755465555
45,"[10,24]",0.0035651162603705724,No,No,Yes,No,M,25,1997-01-01,1987-01-01,Passenger,No,0,10.580584372209387
46,"[10,24]",0.0076111937797317605,No,Yes,Yes,No,F,37,1997-01-01,1992-01-01,Driver,No,1,17.802539218108056
47,"[10,24]",0.0076111937797317605,No,Yes,No,No,F,16,1997-01-01,1992-01-01,Passenger,No,0,15.237744062786241
49,"[10,24]",0.001817160591971664,No,No,Yes,Yes,M,39,1997-01-01,1987-01-01,Driver,No,0,23.07819010075127
51,"[40,54]",0.001702613915744528,No,No,Yes,Yes,F,64,1997-01-01,1991-01-01,Driver,No,3,48.016183816103585
56,"[25,39]",0.0004333558746122939,No,Yes,No,Yes,M,74,1997-01-01,1993-01-01,Driver,Yes,3,38.74211740612088
57,"[1,9]",0.00977809411013675,No,Yes,No,No,F,17,1997-01-01,1996-01-01,Driver,No,0,3.5127334006429
58,"[1,9]",0.00977809411013675,No,Yes,No,No,F,16,1997-01-01,1996-01-01,Passenger,No,0,6.679703464273717
59,"[25,39]",0.0006486428015962067,No,Yes,No,No,F,20,1997-01-01,1996-01-01,Driver,No,3,32.59149390946065
60,"[25,39]",0.0006486428015962067,No,Yes,No,No,M,19,1997-01-01,1996-01-01,Passenger,No,2,30.330103421047152
62,"[10,24]",0.03689939133368515,No,Yes,Yes,Yes,M,32,1997-01-01,1995-01-01,Driver,No,0,18.808062683513395
66,"[10,24]",0.009832265754510114,No,No,No,Yes,M,76,1997-01-01,1989-01-01,Driver,No,5,23.76052053776067
69,"[10,24]",0.0036616748403755007,No,No,Yes,No,F,20,1997-01-01,1992-01-01,Driver,No,1,19.118365304311055
70,"[10,24]",0.0036616748403755007,No,No,Yes,No,F,43,1997-01-01,1992-01-01,Passenger,No,1,13.849027370620712
71,"[25,39]",0.007902234610589424,No,No,Yes,Yes,M,21,1997-01-01,1994-01-01,Driver,No,0,25.793807074474643
72,"[10,24]",0.011297941365117104,No,No,Yes,Yes,M,44,1997-01-01,1988-01-01,Driver,No,0,20.23350838055317
73,"[10,24]",0.011297941365117104,No,No,Yes,Yes,F,62,1997-01-01,1988-01-01,Passenger,No,0,14.61613340813459
74,"[25,39]",0.0006486428015962067,No,Yes,Yes,No,F,20,1997-01-01,1997-01-01,Driver,Yes,3,33.9734420248728
75,"[25,39]",0.0006486428015962067,No,Yes,Yes,No,F,17,1997-01-01,1997-01-01,Passenger,Yes,3,33.52723221025778
